When was Elizabethtown College first opened?,1899,1,Etown was first opened in 1899.,1,2,3,4,5,6,7,8,9,10,11,12,13,Elizabethtown College was first opened in 1899.
When was Etown opened?,1899,1,Etown was opened in 1899.,history ,students,location,Sports,Costs,Size,Greek life,majors,classes,Profs,Start date,Unique,fun things,Elizabethtown College was opened in 1899.
Who originally founded Elizabethtown College?,Reverend Jacob G. Francis in 1899,1,Etown was founded by Reverend Jacob G. Francis in 1899.,,,,,,,0,,,,,,,Elizabethtown College was founded by Reverend Jacob G. Francis in 1899.
Who founded Etown?,Reverend Jacob G. Francis in 1899,1,Reverend Jacob G. Francis founded Etown in 1899.,14,15,16,17,18,19,20,21,22,23,,,,Reverend Jacob G. Francis founded Elizabethtown College in 1899.
When was Elizabethtown College originally founded?,1899,1,Etown was founded in 1899.,Acceptance,class groups,skool requir.,study abrod,student life,food,dorms,wifi,Jobs,Grduatiopn,,,,Elizabethtown College was founded in 1899.
When was Etown founded?,1899,1,,,,,,,,,,,,,,,
How many students attend Elizabethtown College?,around 1688  students,2,1688 students attend Etown.,24,25,26,27,28,,,,,,,,,1688 students attend Elizabethtown College.
How many students go to Etown?,Around 1688  students,2,1688 students go to Etown.,accreddiation,Security,"stats, sat gpa",clubs,alumni,,,,,,,,,1688 students go to Elizabethtown College.
How many undergraduate students attend Elizabethtown College?,1688  students,2,There are 1688 undergrad students at Etown.,,,,,,,,,,,,,,There are 1688 undergrad students at Elizabethtown College.
How many undergraduate students go to Etown?,1688  students,2,1668 undergraduate students go to Etown.,,,,,,,,,,,,,,1668 undergraduate students go to Elizabethtown College.
How many graduate students go to Etown?,"For more information on this, check out: https://www.etown.edu/academics/graduate-programs.aspx",2,,,,,,,,,,,,,,,
How many graduate students attend Elizabethtown College?,"For more information on this, check out: https://www.etown.edu/academics/graduate-programs.aspx",2,,,,,,,,,,,,,,,
Where is Elizabethtown College located?,Elizabethown Pennsylvania,3,Etown is located in Elizabethown Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is located in Elizabethown Pennsylvania
Where is Etown?,Elizabethown Pennsylvania,3,Etown is in Elizabethown Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is in Elizabethown Pennsylvania
What division is Etown sports?,Division 3 sports,4,Etown is in Pennsylvania,,,,,,,,,,,,,,Elizabethtown College is in Pennsylvania
What Elizabethtown College division sports?,Division 3 sports,4,Etown has division 3 sports.,,,,,,,,,,,,,,Elizabethtown College has division 3 sports.
How much does it cost to attend Elizabethtown College?,"$47,170 ",5,Etown sports are drivision 3,,,,,,,,,,,,,,Elizabethtown College sports are drivision 3
How much does it cost to go to Etown?,"$47,170 ",5,The sports at Etown are division 3,,,,,,,,,,,,,,The sports at Elizabethtown College are division 3
How much does Etown cost per year?,"$47,170 ",5,"It cost $47,170 to attend Etown yearly.",,,,,,,,,,,,,,"It cost $47,170 to attend Elizabethtown College yearly."
How much does Etown cost per semester?,"23,585 dollars per semester",5,"It cost $47,170 a year to attend Etown.",,,,,,,,,,,,,,"It cost $47,170 a year to attend Elizabethtown College."
How big is Etown?,"Undergrad enrollment of 1,688 and the school lies on 203 acres",6,,,,,,,,,,,,,,,
Are there fraternities or sororities at Etown?,No frats or sororities,7,There are no fraternities and no sororities at Etown,,,,,,,,,,,,,,There are no fraternities and no sororities at Elizabethtown College
Are there frats at Etown?,No frats or sororities,7,There is no Greek life at Etown,,,,,,,,,,,,,,There is no Greek life at Elizabethtown College
Are there sorotities at Etown?,No frats or sororities,7,There are no frats or sororities at Etown.,,,,,,,,,,,,,,There are no frats or sororities at Elizabethtown College.
How old is Etown?,It has been open since 1899 so it has been open for 123 years,1,Etown is 123 years old,,,,,,,,,,,,,,Elizabethtown College is 123 years old
What majors are popular at Etown?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,Etown has been opened for 123 years,,,,,,,,,,,,,,Elizabethtown College has been opened for 123 years
What are the majors at Etown?,"For more information on this, check out: https://www.etown.edu/academics/majors-minors.aspx",8,Etown has a lot of majors and minors,,,,,,,,,,,,,,Elizabethtown College has a lot of majors and minors
How big are the classes?,Less than 20 students per class usually,9,Etown is a liberal arts school,,,,,,,,,,,,,,Elizabethtown College is a liberal arts school
What departments or programs have the best reputations?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,The classes generally have 20 students in each ,,,,,,,,,,,,,,The classes generally have 20 students in each 
Are your professors good teachers?,Yes a lot of them have worked in the industry,10,Etown has great programs for every major,,,,,,,,,,,,,,Elizabethtown College has great programs for every major
How many kids are in each classroom?,Less than 20 students per class usually,9,Each classroom at Etown generally holds 20 students,,,,,,,,,,,,,,Each classroom at Elizabethtown College generally holds 20 students
What is the average class size?,Less than 20 students per class usually,9,There are no more than 20 students per classroom on average,,,,,,,,,,,,,,There are no more than 20 students per classroom on average
What state is Etown College in?,Pennsylvania,3,School starts in August for Etown,,,,,,,,,,,,,,School starts in August for Elizabethtown College
When does Etown start school?,"For more information on this, check out: https://www.etown.edu/offices/registration-records/calendar.aspx",11,Etown starts school in August,,,,,,,,,,,,,,Elizabethtown College starts school in August
Do the professors hold office hours?,Yes professors have office hours,10,Etown's professors hold office hours,,,,,,,,,,,,,,Elizabethtown College's professors hold office hours
What is somehting unique about Etown?,"For more information on this, check out: https://www.etown.edu/about/",12,The professors at Etown hold office hours,,,,,,,,,,,,,,The professors at Elizabethtown College hold office hours
What are fun things to do at Etown?,"For more information on this, check out: https://www.etown.edu/campus-life/student-clubs.aspx",13,"There are a lot of clubs, sports, and events that Etown has",,,,,,,,,,,,,,"There are a lot of clubs, sports, and events that Elizabethtown College has"
What are fun things to do at school?,"For more information on this, check out: https://www.etown.edu/campus-life/student-clubs.aspx",13,Etown has a lot of clubs and sports and events ,,,,,,,,,,,,,,Elizabethtown College has a lot of clubs and sports and events 
Are their clubs at Etown?,"For more information on this, check out: https://www.etown.edu/campus-life/student-clubs.aspx",13,There are many clubs at Etown,,,,,,,,,,,,,,There are many clubs at Elizabethtown College
Are there sports at Etown?,"For more information on this, check out: https://etownbluejays.com/",4,There are many sports at Etown,,,,,,,,,,,,,,There are many sports at Elizabethtown College
What sports are at Etown?,"For more information on this, check out: https://etownbluejays.com/",13,,,,,,,,,,,,,,,
What clubs are there at Etown?,"For more information on this, check out: https://www.etown.edu/campus-life/student-clubs.aspx",13,Etown has many different clubs,,,,,,,,,,,,,,Elizabethtown College has many different clubs
What is the acceptance rate?,85.70%,14,The acceptance rate at Etown is 85.70%,,,,,,,,,,,,,,The acceptance rate at Elizabethtown College is 85.70%
What is the acceptance rate at Etown?,85.70%,14,Etown has an acceptance rate of 85.70%,,,,,,,,,,,,,,Elizabethtown College has an acceptance rate of 85.70%
What is the cost of enrollment at Etown?,"$47,170 ",5,"It will cost $47,170 per year to attend Etown",,,,,,,,,,,,,,"It will cost $47,170 per year to attend Elizabethtown College"
How many students are accepted at Etown per year?,"For more information on this, check out: https://www.etown.edu/about/",14,There are around 400-500 students accepted each year at Etown,,,,,,,,,,,,,,There are around 400-500 students accepted each year at Elizabethtown College
What are fun things to do around Etown?,"For more information on this, check out: https://www.etown.edu/blog/what-to-do-on-weekends.aspx",13,Etown gains aroun 400-500 students per year,,,,,,,,,,,,,,Elizabethtown College gains aroun 400-500 students per year
What are fun things to do near Etown?,"For more information on this, check out: https://www.etown.edu/blog/what-to-do-on-weekends.aspx",10,Etown has hiking and a downtown around the college,,,,,,,,,,,,,,Elizabethtown College has hiking and a downtown around the college
Are there teachers assistants at Etown?,"No, there are no teaching assistants",10,"Around Etown, there is a downtown and hiking spots",,,,,,,,,,,,,,"Around Elizabethtown College, there is a downtown and hiking spots"
Are there TA's at Etown?,"No, but some classes have multiple professors",10,Etown does not have TA's,,,,,,,,,,,,,,Elizabethtown College does not have TA's
How do I get help if I am struggling at Etown?,"There are tutoring opportunites, office hours, and learning help offered for free ",9,Etown offers tutoring and the professors offer office hours ,,,,,,,,,,,,,,Elizabethtown College offers tutoring and the professors offer office hours 
How often are collaborative work or group presentations required?,There is almost always group work in every class,15,Etown has resources to help students like tutoring and office hours,,,,,,,,,,,,,,Elizabethtown College has resources to help students like tutoring and office hours
Does your major require an independent study or capstone project ?,"Most majors require an signature learning experience to gradtuate, an internship counts as one of these. ",16,Majors do require signiture learning experience at Etown,,,,,,,,,,,,,,Majors do require signiture learning experience at Elizabethtown College
Are professors available for research with students?,"Yes, ask porfessors individually, more information at https://www.etown.edu/academics/sle-research.aspx",10,Signature learning experiences are required in majors at Etown,,,,,,,,,,,,,,Signature learning experiences are required in majors at Elizabethtown College
Is it popular to study abroad?,"For more information on this, check out: https://www.etown.edu/offices/study-abroad/",17,There is a study abroad program at Etown,,,,,,,,,,,,,,There is a study abroad program at Elizabethtown College
What's it like to be a first-year student here?,Very comforting and welcoming,18,Etown does have a study abroad program,,,,,,,,,,,,,,Elizabethtown College does have a study abroad program
What is there to do on the weekends?,"For more information on this, check out: https://www.etown.edu/blog/what-to-do-on-weekends.aspx",13,There is downtown shopping area around Etown ,,,,,,,,,,,,,,There is downtown shopping area around Elizabethtown College 
What's a typical day like?,"A typical day envolves going to class, the gym, and then homework and hanging out with friends",18,Etown has multiple places to eat,,,,,,,,,,,,,,Elizabethtown College has multiple places to eat
What is the food like at Etown?,The food is good and offers multiple dining areas,19,The cookies in the cafeteria are good at Etown,,,,,,,,,,,,,,The cookies in the cafeteria are good at Elizabethtown College
How are the dorms?,There are many dorms and senior living choices,20,There are multiple places to eat at Etown,,,,,,,,,,,,,,There are multiple places to eat at Elizabethtown College
What are the dorms like?,There are many dorms and senior living choices,20,There are dorms at Etown with kitchens,,,,,,,,,,,,,,There are dorms at Elizabethtown College with kitchens
Is the food good at Etown?,The food is good and offers multiple dining areas,19,The food is tasty at Etown,,,,,,,,,,,,,,The food is tasty at Elizabethtown College
What is the food like at Etown?,The food is good and offers multiple dining areas,19,,,,,,,,,,,,,,,
Do most students live on-campus?,29% of the students live in college-owned housing,20,Most students live on campus at Etown,,,,,,,,,,,,,,Most students live on campus at Elizabethtown College
How many students live on campus?,71% of the students live in college-owned housing,20,Most kids live on campus in Etown,,,,,,,,,,,,,,Most kids live on campus in Elizabethtown College
Which clubs and student organizations are popular?,"There are many popular clubs, math clubs is very popular",18,There are upperclassmen apartments at Etown,,,,,,,,,,,,,,There are upperclassmen apartments at Elizabethtown College
How is the WiFi at Etown?,The wifi is very strong,21,There is upperclassman housing options at Etown,,,,,,,,,,,,,,There is upperclassman housing options at Elizabethtown College
Is their a lot of school spirit?,Yes there is school spriit,18,The wifi is strong at Etown,,,,,,,,,,,,,,The wifi is strong at Elizabethtown College
Are their shuttles anywhere?,No shuttles anywhere,18,There are not shuttles at Etown,,,,,,,,,,,,,,There are not shuttles at Elizabethtown College
How do you find internships?,Go talk to career services or visit https://www.etown.edu/offices/career/internships.aspx,22,Etown has school spirit,,,,,,,,,,,,,,Elizabethtown College has school spirit
What is the graduation rate?,74.10%,23,The graduate rate at Etown is 74.10%,,,,,,,,,,,,,,The graduate rate at Elizabethtown College is 74.10%
What is the job rate after graduation?,"For more information on this, check out: https://www.etown.edu/admissions/outcomes.aspx",22,The job rate after 1 year of graduation at Etown is 96%,,,,,,,,,,,,,,The job rate after 1 year of graduation at Elizabethtown College is 96%
When is graduation?,14-May,23,Graduation is may 14 at Etown,,,,,,,,,,,,,,Graduation is may 14 at Elizabethtown College
What is the job rate within 6 months of graduation?,"For more information on this, check out: https://www.etown.edu/admissions/outcomes.aspx",22,The job rate after a year of graduation is 96% at Etown,,,,,,,,,,,,,,The job rate after a year of graduation is 96% at Elizabethtown College
Does Etown have engineering?,Yes,8,Etown has engineering as a major,,,,,,,,,,,,,,Elizabethtown College has engineering as a major
What accreditations does Etown have?,"For more information on this, check out: https://www.etown.edu/offices/institutional-research/accreditations.aspx",24,Etown has multiple accredidations,,,,,,,,,,,,,,Elizabethtown College has multiple accredidations
Does Etown have accredidations?,"For more information on this, check out: https://www.etown.edu/offices/institutional-research/accreditations.aspx",24,Etown is an accredited school,,,,,,,,,,,,,,Elizabethtown College is an accredited school
Is Etown an accredited College?,"For more information on this, check out: https://www.etown.edu/offices/institutional-research/accreditations.aspx",24,,,,,,,,,,,,,,,
Is Etown accredited?,"For more information on this, check out: https://www.etown.edu/offices/institutional-research/accreditations.aspx",24,,,,,,,,,,,,,,,
Is there a co-op program?,Yes there are co-op programs,22,Etown has co-op programs,,,,,,,,,,,,,,Elizabethtown College has co-op programs
Does Etown have a co-op program?,Yes there are co-op programs,22,There are co-op programs at Etown,,,,,,,,,,,,,,There are co-op programs at Elizabethtown College
Does Elizabethtown College have security?,"Yes, a private company",25,Etown has their own campus security,,,,,,,,,,,,,,Elizabethtown College has their own campus security
What is the average class size?,Most students do not double major,9,The average class size at Etown is 20 students,,,,,,,,,,,,,,The average class size at Elizabethtown College is 20 students
Do most studetns double major?,Most are 4 credits but some classes are less.,8,It is popular to double major at Etown,,,,,,,,,,,,,,It is popular to double major at Elizabethtown College
Is it popular to double major?,Yes it is popular ot double major. A lot of classes overlap between two majors.,1,Many students double major at Etown,,,,,,,,,,,,,,Many students double major at Elizabethtown College
What year was Elizabethown College founded?,1899,1,,,,,,,,,,,,,,,
What is the address of Etown?,"1 Alpha Dr, Elizabethtown, PA 17022",3,"Etown is located at 1 Alpha Dr, Elizabethtown, PA 17022",,,,,,,,,,,,,,"Elizabethtown College is located at 1 Alpha Dr, Elizabethtown, PA 17022"
Is Etown a good school?,"Elizabethtown College's ranking in the 2022 edition of Best Colleges is National Liberal Arts Colleges, #117",14,,,,,,,,,,,,,,,
Who is the president of Etown?,Carl J. Strikwerda,1,The president of Etown is Carl J. Strikwerda,,,,,,,,,,,,,,The president of Elizabethtown College is Carl J. Strikwerda
How many credits do you need to graduate Etown?,125 credits,23,Carl J. Strikwerda is the president of Etown,,,,,,,,,,,,,,Carl J. Strikwerda is the president of Elizabethtown College
How many credits is a class at Etown?,Most are 4 credits but some classes are less.,9,Each class ranges up to 4 credits,,,,,,,,,,,,,,Each class ranges up to 4 credits
How diverse is Etown?,"For more information on this, check out: https://www.collegefactual.com/colleges/elizabethtown-college/student-life/diversity/",18,Etown is not that diverse,,,,,,,,,,,,,,Elizabethtown College is not that diverse
What is the diversity rate at Etown?,"For more information on this, check out: https://www.collegefactual.com/colleges/elizabethtown-college/student-life/diversity/",18,The diversity rate at Etown is not that high,,,,,,,,,,,,,,The diversity rate at Elizabethtown College is not that high
What is the student to faculty ratio?,12:01,9,The student to faculty ratio is 12:1 at Etown,,,,,,,,,,,,,,The student to faculty ratio is 12:1 at Elizabethtown College
What is the faculty to studemt ration?,1:12,9,The faculty to student ratio at Etown is 1:12,,,,,,,,,,,,,,The faculty to student ratio at Elizabethtown College is 1:12
What is the student to faculty ratio at Etown?,12:01,9,Etown has a student to faculty ration of 12:1,,,,,,,,,,,,,,Elizabethtown College has a student to faculty ration of 12:1
Is Etown public or prviate?,private,1,Etown is a private school,,,,,,,,,,,,,,Elizabethtown College is a private school
Is Etown a public or private school?,private,1,Etown is a private college,,,,,,,,,,,,,,Elizabethtown College is a private college
What is the avergae SAT score for Etown?,"Reading and Writing 540-640, Math 540-640",26,Etown is a private institution,,,,,,,,,,,,,,Elizabethtown College is a private institution
What is the avergae SAT score for Etown?,"Reading and Writing 540-640, Math 540-640",26,"The average SAT score at Etown is Reading and Writing 540-640, Math 540-640",,,,,,,,,,,,,,"The average SAT score at Elizabethtown College is Reading and Writing 540-640, Math 540-640"
Does Etown have a masters program?,Yes there is a 4+1 Masters program,26,"The average SAT score is Reading and Writing 540-640, Math 540-640 at Etown",,,,,,,,,,,,,,"The average SAT score is Reading and Writing 540-640, Math 540-640 at Elizabethtown College"
Are their masters programs at Etown?,Yes there is a 4+1 Masters program,26,There is a 4+1 Masters degree program at Etown,,,,,,,,,,,,,,There is a 4+1 Masters degree program at Elizabethtown College
What is the drop out rate at Etown?,28.3% ,26,Etown has a 4+1 Masters program,,,,,,,,,,,,,,Elizabethtown College has a 4+1 Masters program
What is the transfer rate at Etown?,"For more information on this, check out: https://www.campusreel.org/how-to-transfer-colleges/elizabethtown-college-transfer-requirements#:~:text=What%20is%20Elizabethtown%20College's%20transfer,for%20Elizabethtown%20College%20is%2052.05%25.",26,The transfer rate at Etown is low,,,,,,,,,,,,,,The transfer rate at Elizabethtown College is low
What is the boy to girl ration at Etown,39% male students and 61% female ,26,The boy to girl ration at Etown is 39% male students and 61% female ,,,,,,,,,,,,,,The boy to girl ration at Elizabethtown College is 39% male students and 61% female 
How many boys go to Etown,39% male students and 61% female ,26,There are 39% male students and 61% female at Etown,,,,,,,,,,,,,,There are 39% male students and 61% female at Elizabethtown College
How many girls go to Etown,39% male students and 61% female ,26,"At Etown, the boy to girl ratio is 39% male students and 61% female ",,,,,,,,,,,,,,"At Elizabethtown College, the boy to girl ratio is 39% male students and 61% female "
When was Elizabethtown College opened?,1899,1,,,,,,,,,,,,,,,
When was Elizabethtown College opened?,1899,1,,,,,,,,,,,,,,,
Who founded Elizabethtown College?,Reverend Jacob G. Francis,1,,,,,,,,,,,,,,,
Who founded Elizabethtown College?,Reverend Jacob G. Francis,1,,,,,,,,,,,,,,,
When was Elizabethtown College founded?,1899,1,,,,,,,,,,,,,,,
When was Elizabethtown College founded?,1899,1,,,,,,,,,,,,,,,
How many students go to Elizabethtown College?,around 1688  students,2,,,,,,,,,,,,,,,
How many students go to Elizabethtown College?,Around 1688  students,2,,,,,,,,,,,,,,,
How many undergraduate students go to Elizabethtown College?,1688  students,2,,,,,,,,,,,,,,,
How many undergraduate students go to Elizabethtown College?,1688  students,2,,,,,,,,,,,,,,,
How many graduate students go to Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/academics/graduate-programs.aspx",2,,,,,,,,,,,,,,,
How many graduate students go to Elizabethtown College?,https://www.Elizabethtown College.edu/academics/graduate-programs.aspx,2,,,,,,,,,,,,,,,
Where is Elizabethtown College?,Elizabethown Pennsylvania,3,,,,,,,,,,,,,,,
Where is Elizabethtown College?,Elizabethown Pennsylvania,3,,,,,,,,,,,,,,,
What division is Elizabethtown College sports?,Division 3 sports,4,,,,,,,,,,,,,,,
What division is Elizabethtown College sports?,Division 3 sports,4,,,,,,,,,,,,,,,
How much does it cost to go to Elizabethtown College?,"$47,170 ",5,,,,,,,,,,,,,,,
How much does it cost to go to Elizabethtown College?,"$47,170 ",5,,,,,,,,,,,,,,,
How much does Elizabethtown College cost per year?,"$47,170 ",5,,,,,,,,,,,,,,,
How much does Elizabethtown College cost per semester?,"23,585 dollars per semester",5,"It cost 23,585 dollars per semester per semester at Etown",,,,,,,,,,,,,,"It cost 23,585 dollars per semester per semester at Elizabethtown College"
How big is Elizabethtown College?,"Undergrad enrollment of 1,688 and the school lies on 203 acres",6,"At Etown, it cost 23,585 dollars per semester per semester at Etown",,,,,,,,,,,,,,"At Elizabethtown College, it cost 23,585 dollars per semester per semester at Elizabethtown College"
Are there fraternities or sororities at Elizabethtown College?,No frats or sororities,7,,,,,,,,,,,,,,,
Are there frats at Elizabethtown College?,No frats or sororities,7,,,,,,,,,,,,,,,
Are there sorotities at Elizabethtown College?,No frats or sororities,7,,,,,,,,,,,,,,,
How old is Elizabethtown College?,It has been open since 1899 so it has been open for 123 years,1,,,,,,,,,,,,,,,
What majors are popular at Elizabethtown College?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,,,,,,,,,,,,,,,
What are the majors at Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/academics/majors-minors.aspx",8,,,,,,,,,,,,,,,
How big are the classes?,Less than 20 students per class usually,9,,,,,,,,,,,,,,,
What departments or programs have the best reputations?,"Business, Management, Marketing, and Related Support Services; Health Professions and Related Programs; Biological and Biomedical Sciences; Education; Engineering; Computer and Information Sciences and Support Services; Social Sciences; Psychology; Communication ",8,,,,,,,,,,,,,,,
Are your professors good teachers?,Yes a lot of them have worked in the industry,10,,,,,,,,,,,,,,,
How many kids are in each classroom?,Less than 20 students per class usually,9,,,,,,,,,,,,,,,
What is the average class size?,Less than 20 students per class usually,9,,,,,,,,,,,,,,,
What state is Elizabethtown College in?,Pennsylvania,3,,,,,,,,,,,,,,,
When does Elizabethtown College start school?,"For more information on this, check out: https://www.Elizabethtown College.edu/offices/registration-records/calendar.aspx",11,,,,,,,,,,,,,,,
Do the professors hold office hours?,Yes there are office hours professors hold,10,,,,,,,,,,,,,,,
What is somehting unique about Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/about/",13,,,,,,,,,,,,,,,
What are fun things to do at Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/campus-life/student-clubs.aspx",13,,,,,,,,,,,,,,,
What are fun things to do at school?,"For more information on this, check out: https://www.Elizabethtown College.edu/campus-life/student-clubs.aspx",13,,,,,,,,,,,,,,,
Are their clubs at Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/campus-life/student-clubs.aspx",13,,,,,,,,,,,,,,,
Are there sports at Elizabethtown College?,"For more information on this, check out: https://Elizabethtown Collegebluejays.com/",4,,,,,,,,,,,,,,,
What sports are at Elizabethtown College?,"For more information on this, check out: https://Elizabethtown Collegebluejays.com/",4,,,,,,,,,,,,,,,
What clubs are there at Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/campus-life/student-clubs.aspx",13,,,,,,,,,,,,,,,
What is the acceptance rate?,85.70%,14,,,,,,,,,,,,,,,
What is the acceptance rate at Elizabethtown College?,85.70%,14,,,,,,,,,,,,,,,
What is the cost of enrollment at Elizabethtown College?,"$47,170 ",5,,,,,,,,,,,,,,,
How many students are accepted at Elizabethtown College per year?,"For more information on this, check out: https://www.Elizabethtown College.edu/about/",14,,,,,,,,,,,,,,,
What are fun things to do around Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/blog/what-to-do-on-weekends.aspx",13,,,,,,,,,,,,,,,
What are fun things to do near Elizabethtown College?,"For more information on this, check out: https://www.Elizabethtown College.edu/blog/what-to-do-on-weekends.aspx",13,,,,,,,,,,,,,,,
Are there teachers assistants at Elizabethtown College?,"No, there are no teaching assistants",10,,,,,,,,,,,,,,,
